Year,Month,Seed_Variety,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
2018,1,NSIC RC 222,132,15.6,34.5,91,10560,1108.8
2018,1,NSIC RC 192,97,15.6,34.5,91,5820,388
2018,1,NSIC RC 11,154,15.6,34.5,91,9240,677.6
2018,1,NSIC RC 120,132,15.6,34.5,91,10560,792
2018,1,NSIC RC 396,99,15.6,34.5,91,5940,693
2018,1,NSIC RC 350,98,15.6,34.5,91,7840,666.4
2018,1,NSIC RC 410,122,15.6,34.5,91,9760,793
2018,1,NSIC RC 100,143,15.6,34.5,91,11440,643.5
2018,1,NSIC RC 102,167,15.6,34.5,91,10020,718.1
2018,1,NSIC RC 242,97,15.6,34.5,91,7760,426.8
2018,1,NSIC RC 56,97,15.6,34.5,91,5820,669.3
2018,1,NSIC RC 12,112,15.6,34.5,91,5600,638.4
2018,1,NSIC RC 42,132,15.6,34.5,91,9240,607.2
2018,1,NSIC RC 442,78,15.6,34.5,91,3900,592.8
2018,1,NSIC RC 510,86,15.6,34.5,91,6880,533.2
,,,,,,,,
2018,2,NSIC RC 222,142,13.8,34.2,89,11360,1249.6
2018,2,NSIC RC 192,163,13.8,34.2,89,9780,652
2018,2,NSIC RC 11,122,13.8,34.2,89,7320,536.8
2018,2,NSIC RC 120,173,13.8,34.2,89,13840,865
2018,2,NSIC RC 396,97,13.8,34.2,89,5820,582
2018,2,NSIC RC 350,97,13.8,34.2,89,7760,756.6
2018,2,NSIC RC 410,125,13.8,34.2,89,10000,1062.5
2018,2,NSIC RC 100,148,13.8,34.2,89,11840,636.4
2018,2,NSIC RC 102,98,13.8,34.2,89,5880,392
2018,2,NSIC RC 242,86,13.8,34.2,89,6880,421.4
2018,2,NSIC RC 56,113,13.8,34.2,89,6780,666.7
2018,2,NSIC RC 12,119,13.8,34.2,89,5950,559.3
2018,2,NSIC RC 42,85,13.8,34.2,89,5950,306
2018,2,NSIC RC 442,85,13.8,34.2,89,4250,620.5
2018,2,NSIC RC 510,73,13.8,34.2,89,5840,525.6
,,,,,,,,
2018,3,NSIC RC 222,87,4.3,34.6,86,6960,661.2
2018,3,NSIC RC 192,92,4.3,34.6,86,5520,487.6
2018,3,NSIC RC 11,85,4.3,34.6,86,5100,374
2018,3,NSIC RC 120,87,4.3,34.6,86,6960,461.1
2018,3,NSIC RC 396,94,4.3,34.6,86,5640,554.6
2018,3,NSIC RC 350,82,4.3,34.6,86,6560,598.6
2018,3,NSIC RC 410,82,4.3,34.6,86,6560,672.4
2018,3,NSIC RC 100,82,4.3,34.6,86,6560,410
2018,3,NSIC RC 102,84,4.3,34.6,86,5040,504
2018,3,NSIC RC 242,86,4.3,34.6,86,6880,369.8
2018,3,NSIC RC 56,94,4.3,34.6,86,5640,507.6
2018,3,NSIC RC 12,86,4.3,34.6,86,4300,490.2
2018,3,NSIC RC 42,94,4.3,34.6,86,6580,432.4
2018,3,NSIC RC 442,91,4.3,34.6,86,4550,755.3
2018,3,NSIC RC 510,88,4.3,34.6,86,7040,457.6
,,,,,,,,
2018,4,NSIC RC 222,35,92.4,35.5,90,2800,259
