Year,Month,Seed_Variety,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
2015,1,NSIC RC 222,35,9.3,34.6,85,2800,280
2015,1,NSIC RC 192,142,9.3,34.6,85,8520,568
2015,1,NSIC RC 11,194,9.3,34.6,85,11640,853.6
2015,1,NSIC RC 120,86,9.3,34.6,85,6880,430
2015,1,NSIC RC 396,45,9.3,34.6,85,2700,270
2015,1,NSIC RC 350,79,9.3,34.6,85,6320,616.2
2015,1,NSIC RC 410,64,9.3,34.6,85,5120,544
2015,1,NSIC RC 100,87,9.3,34.6,85,6960,374.1
2015,1,NSIC RC 102,10,9.3,34.6,85,600,40
2015,1,NSIC RC 242,22,9.3,34.6,85,1760,107.8
2015,1,NSIC RC 56,73,9.3,34.6,85,4380,430.7
2015,1,NSIC RC 12,141,9.3,34.6,85,7050,662.7
2015,1,NSIC RC 42,49,9.3,34.6,85,3430,176.4
2015,1,NSIC RC 442,129,9.3,34.6,85,6450,941.7
2015,1,NSIC RC 510,33,9.3,34.6,85,2640,237.6
,,,,,,,,
2015,2,NSIC RC 222,54,16.6,35.2,88,4320,324
2015,2,NSIC RC 192,86,16.6,35.2,88,5160,369.8
2015,2,NSIC RC 11,79,16.6,35.2,88,4740,355.5
2015,2,NSIC RC 120,142,16.6,35.2,88,11360,795.2
2015,2,NSIC RC 396,94,16.6,35.2,88,5640,629.8
2015,2,NSIC RC 350,135,16.6,35.2,88,10800,1012.5
2015,2,NSIC RC 410,117,16.6,35.2,88,9360,947.7
2015,2,NSIC RC 100,78,16.6,35.2,88,6240,382.2
2015,2,NSIC RC 102,108,16.6,35.2,88,6480,496.8
2015,2,NSIC RC 242,122,16.6,35.2,88,9760,549
2015,2,NSIC RC 56,95,16.6,35.2,88,5700,503.5
2015,2,NSIC RC 12,101,16.6,35.2,88,5050,464.6
2015,2,NSIC RC 42,32,16.6,35.2,88,2240,124.8
2015,2,NSIC RC 442,129,16.6,35.2,88,6450,1006.2
2015,2,NSIC RC 510,133,16.6,35.2,88,10640,1024.1
,,,,,,,,
2015,3,NSIC RC 222,84,1,37,81,6720,504
2015,3,NSIC RC 192,80,1,37,81,4800,320
2015,3,NSIC RC 11,112,1,37,81,6720,492.8
2015,3,NSIC RC 120,97,1,37,81,7760,582
2015,3,NSIC RC 396,121,1,37,81,7260,847
2015,3,NSIC RC 350,85,1,37,81,6800,578
2015,3,NSIC RC 410,73,1,37,81,5840,474.5
2015,3,NSIC RC 100,64,1,37,81,5120,288
2015,3,NSIC RC 102,93,1,37,81,5580,399.9
2015,3,NSIC RC 242,134,1,37,81,10720,589.6
2015,3,NSIC RC 56,122,1,37,81,7320,841.8
2015,3,NSIC RC 12,78,1,37,81,3900,444.6
2015,3,NSIC RC 42,56,1,37,81,3920,257.6
2015,3,NSIC RC 442,119,1,37,81,5950,904.4
2015,3,NSIC RC 510,98,1,37,81,7840,607.6
,,,,,,,,
2015,4,NSIC RC 222,73,15.8,36,87,5840,496.4
2015,4,NSIC RC 192,56,15.8,36,87,3360,296.8
2015,4,NSIC RC 11,81,15.8,36,87,4860,356.4
2015,4,NSIC RC 120,62,15.8,36,87,4960,328.6
2015,4,NSIC RC 396,52,15.8,36,87,3120,306.8
2015,4,NSIC RC 350,91,15.8,36,87,7280,664.3
2015,4,NSIC RC 410,112,15.8,36,87,8960,918.4
2015,4,NSIC RC 100,57,15.8,36,87,4560,285
2015,4,NSIC RC 102,83,15.8,36,87,4980,498
2015,4,NSIC RC 242,46,15.8,36,87,3680,197.8
2015,4,NSIC RC 56,97,15.8,36,87,5820,523.8
2015,4,NSIC RC 12,57,15.8,36,87,2850,324.9
2015,4,NSIC RC 42,68,15.8,36,87,4760,312.8
2015,4,NSIC RC 442,68,15.8,36,87,3400,564.4
2015,4,NSIC RC 510,119,15.8,36,87,9520,618.8
,,,,,,,,
2015,5,NSIC RC 222,87,24.8,37,87,6960,626.4
2015,5,NSIC RC 192,87,24.8,37,87,5220,348
2015,5,NSIC RC 11,62,24.8,37,87,3720,272.8
2015,5,NSIC RC 120,91,24.8,37,87,7280,546
2015,5,NSIC RC 396,92,24.8,37,87,5520,644
2015,5,NSIC RC 350,73,24.8,37,87,5840,496.4
2015,5,NSIC RC 410,73,24.8,37,87,5840,474.5
2015,5,NSIC RC 100,81,24.8,37,87,6480,364.5
2015,5,NSIC RC 102,81,24.8,37,87,4860,348.3
2015,5,NSIC RC 242,81,24.8,37,87,6480,356.4
2015,5,NSIC RC 56,114,24.8,37,87,6840,786.6
2015,5,NSIC RC 12,91,24.8,37,87,4550,518.7
2015,5,NSIC RC 42,91,24.8,37,87,6370,418.6
2015,5,NSIC RC 442,63,24.8,37,87,3150,478.8
2015,5,NSIC RC 510,59,24.8,37,87,4720,365.8
,,,,,,,,
2015,6,NSIC RC 222,94,71.6,35.2,94,7520,752
2015,6,NSIC RC 192,82,71.6,35.2,94,4920,434.6
2015,6,NSIC RC 11,82,71.6,35.2,94,4920,360.8
2015,6,NSIC RC 120,82,71.6,35.2,94,6560,434.6
2015,6,NSIC RC 396,84,71.6,35.2,94,5040,495.6
2015,6,NSIC RC 350,86,71.6,35.2,94,6880,627.8
2015,6,NSIC RC 410,94,71.6,35.2,94,7520,770.8
2015,6,NSIC RC 100,86,71.6,35.2,94,6880,430
2015,6,NSIC RC 102,94,71.6,35.2,94,5640,564
2015,6,NSIC RC 242,91,71.6,35.2,94,7280,391.3
2015,6,NSIC RC 56,88,71.6,35.2,94,5280,475.2
2015,6,NSIC RC 12,88,71.6,35.2,94,4400,501.6
2015,6,NSIC RC 42,89,71.6,35.2,94,6230,409.4
2015,6,NSIC RC 442,88,71.6,35.2,94,4400,730.4
2015,6,NSIC RC 510,92,71.6,35.2,94,7360,478.4
,,,,,,,,
2015,7,NSIC RC 222,116,10.13,32,81,9280,858.4
2015,7,NSIC RC 192,97,10.13,32,81,5820,388
2015,7,NSIC RC 11,67,10.13,32,81,4020,294.8
2015,7,NSIC RC 120,98,10.13,32,81,7840,490
2015,7,NSIC RC 396,128,10.13,32,81,7680,768
2015,7,NSIC RC 350,165,10.13,32,81,13200,1287
2015,7,NSIC RC 410,79,10.13,32,81,6320,671.5
2015,7,NSIC RC 100,79,10.13,32,81,6320,339.7
2015,7,NSIC RC 102,85,10.13,32,81,5100,340
2015,7,NSIC RC 242,98,10.13,32,81,7840,480.2
2015,7,NSIC RC 56,73,10.13,32,81,4380,430.7
2015,7,NSIC RC 12,132,10.13,32,81,6600,620.4
2015,7,NSIC RC 42,122,10.13,32,81,8540,439.2
2015,7,NSIC RC 442,98,10.13,32,81,4900,715.4
2015,7,NSIC RC 510,68,10.13,32,81,5440,489.6
,,,,,,,,
2015,8,NSIC RC 222,88,31.8,35.1,94,7040,668.8
2015,8,NSIC RC 192,96,31.8,35.1,94,5760,508.8
2015,8,NSIC RC 11,91,31.8,35.1,94,5460,400.4
2015,8,NSIC RC 120,89,31.8,35.1,94,7120,471.7
2015,8,NSIC RC 396,84,31.8,35.1,94,5040,495.6
2015,8,NSIC RC 350,90,31.8,35.1,94,7200,657
2015,8,NSIC RC 410,92,31.8,35.1,94,7360,754.4
2015,8,NSIC RC 100,93,31.8,35.1,94,7440,465
2015,8,NSIC RC 102,90,31.8,35.1,94,5400,540
2015,8,NSIC RC 242,91,31.8,35.1,94,7280,391.3
2015,8,NSIC RC 56,87,31.8,35.1,94,5220,469.8
2015,8,NSIC RC 12,92,31.8,35.1,94,4600,524.4
2015,8,NSIC RC 42,85,31.8,35.1,94,5950,391
2015,8,NSIC RC 442,87,31.8,35.1,94,4350,722.1
2015,8,NSIC RC 510,94,31.8,35.1,94,7520,488.8
,,,,,,,,
2015,9,NSIC RC 222,93,94.2,34.6,93,7440,818.4
2015,9,NSIC RC 192,90,94.2,34.6,93,5400,360
2015,9,NSIC RC 11,88,94.2,34.6,93,5280,387.2
2015,9,NSIC RC 120,92,94.2,34.6,93,7360,460
2015,9,NSIC RC 396,90,94.2,34.6,93,5400,540
2015,9,NSIC RC 350,91,94.2,34.6,93,7280,709.8
2015,9,NSIC RC 410,93,94.2,34.6,93,7440,790.5
2015,9,NSIC RC 100,93,94.2,34.6,93,7440,399.9
2015,9,NSIC RC 102,86,94.2,34.6,93,5160,344
2015,9,NSIC RC 242,90,94.2,34.6,93,7200,441
2015,9,NSIC RC 56,86,94.2,34.6,93,5160,507.4
2015,9,NSIC RC 12,91,94.2,34.6,93,4550,427.7
2015,9,NSIC RC 42,92,94.2,34.6,93,6440,331.2
2015,9,NSIC RC 442,92,94.2,34.6,93,4600,671.6
2015,9,NSIC RC 510,91,94.2,34.6,93,7280,655.2
,,,,,,,,
2015,10,NSIC RC 222,132,28.1,37,91,10560,1108.8
2015,10,NSIC RC 192,97,28.1,37,91,5820,388
2015,10,NSIC RC 11,154,28.1,37,91,9240,677.6
2015,10,NSIC RC 120,132,28.1,37,91,10560,792
2015,10,NSIC RC 396,99,28.1,37,91,5940,693
2015,10,NSIC RC 350,98,28.1,37,91,7840,666.4
2015,10,NSIC RC 410,122,28.1,37,91,9760,793
2015,10,NSIC RC 100,143,28.1,37,91,11440,643.5
